stn    time           tre200dx  tre200dn  tre200d0
ALT    20181018           16.1       4.5      10.9
ALT    20181019           15.2       5.5      10.9
ALT    20181020           15.4       6.7      11.6
ALT    20181021           13.7       4.0       9.4
ALT    20181022           11.9       2.7       7.9
ALT    20181023           13.3       2.6       9.2
ALT    20181024           16.3       9.5      12.8
ALT    20181025           16.8       5.5      10.6
ALT    20181026           14.6       4.2       9.7
ALT    20181027           10.8       2.0       6.7
ALT    20181028            5.7       2.0       3.8
ALT    20181029           10.0       4.8       6.6
ALT    20181030           11.7       2.1       6.2
ALT    20181031           17.2       6.2      14.4
ALT    20181101           17.5       7.2      12.3
ALT    20181102           11.4       5.9       9.4
ALT    20181103           12.1       5.9       8.9
ALT    20181104           13.8       7.5       9.5
ALT    20181105           21.5       8.7      16.4
ALT    20181106           21.4      10.4      17.6
ALT    20181107           13.8       7.1      10.8
ALT    20181108           12.3       7.2      10.7
ALT    20181109           11.6       5.2       8.4
ALT    20181110           13.1       7.2       9.7
ALT    20181111           18.9       7.0      12.6
ALT    20181112           21.5      12.6      18.7
